2023-09-27 16:40:18 20 C, 68 F
2023-09-27 16:50:55 20 C, 68 F
2023-09-27 16:50:56 21 C, 69 F
2023-09-27 16:50:57 20 C, 68 F
2023-09-27 16:50:58 20 C, 68 F
2023-09-27 16:50:59 20 C, 68 F
2023-09-27 16:51:00 20 C, 68 F
2023-09-27 16:51:01 21 C, 69 F
2023-09-27 16:51:02 21 C, 69 F
2023-09-27 16:51:03 21 C, 69 F
2023-09-27 16:51:04 21 C, 69 F
2023-09-27 16:51:05 21 C, 69 F
2023-09-27 16:51:06 20 C, 68 F
2023-09-27 16:51:07 21 C, 69 F
2023-09-27 16:51:08 21 C, 69 F
2023-09-27 16:51:09 21 C, 69 F
2023-09-27 16:51:10 20 C, 68 F
2023-09-27 16:51:11 21 C, 69 F
2023-09-27 16:51:12 20 C, 68 F
2023-09-27 16:51:13 21 C, 69 F
2023-09-27 16:51:14 21 C, 69 F
2023-09-27 16:51:15 21 C, 69 F
2023-09-27 16:51:16 20 C, 68 F
2023-09-27 16:51:17 21 C, 69 F
2023-09-27 16:51:18 20 C, 68 F
2023-09-27 16:51:19 21 C, 69 F
2023-09-27 16:51:20 21 C, 69 F
2023-09-27 16:51:21 21 C, 69 F
2023-09-27 16:51:22 20 C, 68 F
2023-09-27 16:51:23 21 C, 69 F
2023-09-27 16:51:24 21 C, 69 F
2023-09-27 16:51:25 21 C, 69 F
2023-09-27 16:51:26 21 C, 69 F
2023-09-27 16:51:27 21 C, 69 F
2023-09-27 16:51:28 21 C, 69 F
2023-09-27 16:51:29 20 C, 68 F
2023-09-27 16:51:30 20 C, 68 F
2023-09-27 16:51:31 20 C, 68 F
2023-09-27 16:51:32 20 C, 68 F
2023-09-27 16:51:33 20 C, 68 F
2023-09-27 16:51:34 20 C, 68 F
2023-09-27 16:51:35 20 C, 68 F
2023-09-27 16:51:36 20 C, 68 F
2023-09-27 16:51:37 20 C, 68 F
2023-09-27 16:51:38 20 C, 68 F
2023-09-27 16:51:39 20 C, 68 F
2023-09-27 16:51:40 20 C, 68 F
2023-09-27 16:51:41 20 C, 68 F
2023-09-27 16:51:42 20 C, 68 F
2023-09-27 16:51:43 20 C, 68 F
2023-09-27 16:51:44 20 C, 68 F
2023-09-27 16:51:45 20 C, 68 F
2023-09-27 16:51:46 20 C, 68 F
2023-09-27 16:51:47 20 C, 68 F
2023-09-27 16:51:48 20 C, 68 F
2023-09-27 16:51:49 20 C, 68 F
2023-09-27 16:51:50 21 C, 69 F
2023-09-27 16:51:51 21 C, 69 F
2023-09-27 16:51:52 21 C, 69 F
2023-09-27 16:51:53 21 C, 69 F
2023-09-27 16:51:54 20 C, 68 F
2023-09-27 16:51:55 20 C, 68 F
2023-09-27 16:51:56 20 C, 68 F
2023-09-27 16:51:57 20 C, 68 F
2023-09-27 16:51:58 21 C, 69 F
2023-09-27 16:51:59 20 C, 68 F
2023-09-27 16:52:00 21 C, 69 F
2023-09-27 16:52:01 21 C, 69 F
2023-09-27 16:52:02 20 C, 68 F
2023-09-27 16:52:03 20 C, 68 F
2023-09-27 16:52:04 21 C, 69 F
2023-09-27 16:52:05 20 C, 68 F
2023-09-27 16:52:06 20 C, 68 F
2023-09-27 16:52:07 21 C, 69 F
2023-09-27 16:52:08 20 C, 68 F
2023-09-27 16:52:09 21 C, 69 F
2023-09-27 16:52:10 21 C, 69 F
2023-09-27 16:52:11 20 C, 68 F
2023-09-27 16:52:12 20 C, 68 F
2023-09-27 16:52:13 21 C, 69 F
2023-09-27 16:52:14 21 C, 69 F
2023-09-27 16:52:15 21 C, 69 F
2023-09-27 16:52:16 20 C, 68 F
2023-09-27 16:52:17 20 C, 68 F
2023-09-27 16:52:18 20 C, 68 F
2023-09-27 16:52:19 20 C, 68 F
2023-09-27 16:52:20 20 C, 68 F
2023-09-27 16:52:21 20 C, 68 F
2023-09-27 16:52:22 20 C, 68 F
2023-09-27 16:52:23 20 C, 68 F
2023-09-27 16:52:24 20 C, 68 F
2023-09-27 16:52:25 20 C, 68 F
2023-09-27 16:52:26 20 C, 68 F
2023-09-27 16:52:27 20 C, 68 F
2023-09-27 16:52:28 20 C, 68 F
2023-09-27 16:52:29 20 C, 68 F
2023-09-27 16:52:30 20 C, 68 F
2023-09-27 16:52:31 20 C, 68 F
2023-09-27 16:52:32 20 C, 68 F
2023-09-27 16:52:33 20 C, 68 F
2023-09-27 16:52:34 20 C, 68 F
2023-09-27 16:52:35 20 C, 68 F
2023-09-27 16:52:36 20 C, 68 F
2023-09-27 16:52:37 20 C, 68 F
2023-09-27 16:52:38 21 C, 69 F
2023-09-27 16:52:39 21 C, 69 F
2023-09-27 16:52:40 20 C, 68 F
2023-09-27 16:52:41 20 C, 68 F
2023-09-27 16:52:42 20 C, 68 F
2023-09-27 16:52:43 20 C, 68 F
2023-09-27 16:52:44 20 C, 68 F
2023-09-27 16:52:45 20 C, 68 F
2023-09-27 16:52:46 20 C, 68 F
2023-09-27 16:52:47 20 C, 68 F
2023-09-27 16:52:48 20 C, 68 F
2023-09-27 16:52:49 20 C, 68 F
2023-09-27 16:52:50 20 C, 68 F
2023-09-27 16:52:51 20 C, 68 F
2023-09-27 16:52:52 20 C, 68 F
2023-09-27 16:52:53 20 C, 68 F
2023-09-27 16:52:54 20 C, 68 F
2023-09-27 16:52:55 20 C, 68 F
2023-09-27 16:52:56 20 C, 68 F
2023-09-27 16:52:57 20 C, 68 F
2023-09-27 16:52:58 20 C, 68 F
2023-09-27 16:52:59 21 C, 69 F
2023-09-27 16:53:00 20 C, 68 F
2023-09-27 16:53:01 20 C, 68 F
2023-09-27 16:53:02 20 C, 68 F
2023-09-27 16:53:03 20 C, 68 F
2023-09-27 16:53:04 20 C, 68 F
2023-09-27 16:53:05 20 C, 68 F
2023-09-27 16:53:06 20 C, 68 F
2023-09-27 16:53:07 20 C, 68 F
2023-09-27 16:53:08 20 C, 68 F
2023-09-27 16:53:09 20 C, 68 F
2023-09-27 16:53:10 20 C, 68 F
